,Campaign status,Campaign,Budget name,Currency code,Budget,Budget type,Status,Status reasons,Clicks,CTR,Avg. CPC,Impr.,Avg. cost,Cost,Campaign type,Bid strategy type,Campaign group,Original Conv Value,Predicted Conv Value 1,Predicted Conv Value 2
2107,1,82,0,0,0.5,0,4,6,17,0.0055000000000000005,0.09,3070,0.09,1.59,3,0,0,12.64,0.23117200915855754,7.421476355247985
2108,2,152,0,0,5.0,0,5,12,72,0.0089,0.13,8091,0.13,9.22,3,7,0,27.5,219.9967875647666,88.10976190476188
2109,1,82,0,0,0.5,0,4,6,0,0.0,0.0,8,0.0,0.0,3,0,0,0.0,0.23117200915855754,0.017456630531522195
2110,2,152,0,0,5.0,0,5,12,110,0.0121,0.28,9104,0.28,30.44,3,7,0,168.01,219.9967875647666,222.84756906077342
2111,1,82,0,0,0.5,0,4,6,16,0.009300000000000001,0.15,1727,0.15,2.43,3,0,0,0.0,0.23117200915855754,7.421476355247985
2112,1,82,0,0,0.5,0,4,6,0,0.0,0.0,9,0.0,0.0,3,0,0,0.0,0.23117200915855754,0.017456630531522195
2113,2,152,0,0,5.0,0,5,12,100,0.0111,0.28,8974,0.28,27.84,3,7,0,117.32,219.9967875647666,148.59815217391312
2114,1,82,0,0,0.5,0,4,6,0,0.0,0.0,40,0.0,0.0,3,0,0,0.0,0.23117200915855754,0.017456630531522195
2115,1,82,0,0,0.5,0,4,6,34,0.0088,0.09,3870,0.09,3.0,3,0,0,0.0,0.23117200915855754,7.421476355247985
2116,2,152,0,0,5.0,0,5,12,12,0.0076,0.18,1584,0.18,2.13,3,7,0,0.79,0.23117200915855754,14.74322884012539
2117,2,152,0,0,5.0,0,5,12,119,0.0111,0.25,10746,0.25,29.94,3,7,0,353.03,219.9967875647666,222.84756906077342
2118,1,82,0,0,0.5,0,4,6,49,0.008100000000000001,0.12,6039,0.12,6.07,3,0,0,0.53,38.62744338933529,50.214585987261124
2119,1,82,0,0,0.5,0,4,6,12,0.0054,0.07,2226,0.07,0.83,3,0,0,12.59,0.23117200915855754,7.290714285714286
2120,2,152,0,0,5.0,0,5,12,215,0.009300000000000001,0.29,23001,0.29,61.7,3,7,0,338.51,219.9967875647666,222.84756906077342
2121,1,82,0,0,0.5,0,4,6,0,0.0,0.0,63,0.0,0.0,3,0,0,0.0,0.23117200915855754,0.017456630531522195
2122,1,82,0,0,0.5,0,4,6,0,0.0,0.0,77,0.0,0.0,3,0,0,0.0,0.23117200915855754,0.017456630531522195
2123,1,82,0,0,0.5,0,4,6,0,0.0,0.0,5,0.0,0.0,3,0,0,0.0,0.23117200915855754,0.017456630531522195
2124,2,152,0,0,5.0,0,5,12,3,0.0060999999999999995,0.08,489,0.08,0.24,3,7,0,0.0,0.23117200915855754,0.017456630531522195
2125,1,82,0,0,0.5,0,4,6,4,0.0364,0.27,110,0.27,1.08,3,0,0,0.0,0.23117200915855754,7.421476355247985
2126,0,144,0,0,5.0,0,0,15,17,0.0129,0.45,1322,0.4,7.57,1,2,4,18.97,38.62744338933529,19.66085314685316
2127,0,144,0,0,5.0,0,0,15,13,0.0146,0.14,893,0.14,1.76,1,2,4,7.67,0.23117200915855754,14.74322884012539
2128,0,30,0,0,10.0,0,2,13,3,0.0149,1.16,202,1.16,3.47,1,2,3,0.0,38.62744338933529,19.66085314685316
2129,0,144,0,0,5.0,0,0,15,4,0.005600000000000001,0.24,720,0.24,0.97,1,2,4,4.37,0.23117200915855754,14.74322884012539
