Day,Campaign status,Campaign,Budget name,Currency code,Budget,Budget type,Status,Status reasons,Clicks,CTR,Avg. CPC,Impr.,Avg. cost,Cost,Conv. value,Campaign type,Bid strategy type,Campaign group
2024-02-18,Enabled,Shoptimised | Incremental | Performance Max,--,GBP,30,Daily,Eligible (Limited),limited by budget; unknown,188,0.99%,0.27,18939,0.27,51.44,1029.12,Performance Max,Maximize Conversion Value,--
2023-07-16,Paused,Top sell in web,--,GBP,2,Daily,Paused,campaign paused; unknown,10,0.76%,0.29,1322,0.29,2.89,0,Shopping,CPC (enhanced),--
2024-02-21,Enabled,Shoptimised | Incremental | Performance Max,--,GBP,30,Daily,Eligible (Limited),limited by budget; unknown,152,0.76%,0.38,19984,0.38,57.52,694.88,Performance Max,Maximize Conversion Value,--
2023-12-29,Enabled,Shoptimised | Incremental | Performance Max,--,GBP,30,Daily,Eligible (Limited),limited by budget; unknown,138,0.91%,0.2,15157,0.2,27.29,114.92,Performance Max,Maximize Conversion Value,--
2024-03-02,Enabled,Shoptimised | Incremental | Performance Max,--,GBP,30,Daily,Eligible (Limited),limited by budget; unknown,258,0.93%,0.31,27627,0.3,79.5,341.91,Performance Max,Maximize Conversion Value,--
2024-05-10,Enabled,Shoptimised | Incremental | Performance Max,--,GBP,30,Daily,Eligible (Limited),limited by budget; unknown,70,1.05%,0.46,6682,0.46,32.41,159.34,Performance Max,Maximize Conversion Value,--
2024-05-12,Enabled,G-CSS-PMAX BSR -susain,--,GBP,10,Daily,Eligible (Limited),limited by budget; unknown,43,0.83%,0.38,5201,0.38,16.36,0,Performance Max,Maximize Conversion Value,Google-CSS- All pro-SEP
2024-05-10,Enabled,G-CSS-PMAX BSR -susain,--,GBP,10,Daily,Eligible (Limited),limited by budget; unknown,86,0.84%,0.46,10256,0.46,39.81,227.42,Performance Max,Maximize Conversion Value,Google-CSS- All pro-SEP
2024-05-14,Enabled,G-CSS-PMAX BSR -susain,--,GBP,10,Daily,Eligible (Limited),limited by budget; unknown,17,0.79%,0.89,2165,0.89,15.09,16.01,Performance Max,Maximize Conversion Value,Google-CSS- All pro-SEP
2024-05-05,Paused,google css- pmax-TAPE~susain,--,GBP,2,Daily,Paused,campaign paused; unknown,5,0.89%,0.56,561,0.56,2.79,0,Performance Max,Maximize Conversion Value,--
2024-04-30,Paused,google css- pmax-TAPE~susain,--,GBP,2,Daily,Paused,campaign paused; unknown,3,0.26%,0.43,1171,0.1,1.3,0,Performance Max,Maximize Conversion Value,--
2024-04-19,Paused,google css- pmax-TAPE~susain,--,GBP,2,Daily,Paused,campaign paused; unknown,6,0.47%,0.52,1278,0.13,3.15,0,Performance Max,Maximize Conversion Value,--
2024-05-14,Enabled,SHOPTMISED-packing products-susain,--,GBP,10,Daily,Eligible (Learning),bidding strategy learning; unknown,0,0%,0,1,0,0,0,Performance Max,Maximize Conversion Value,H&G
2024-05-10,Enabled,Klarna all pro - NO IMPRESS M,--,GBP,2,Daily,Eligible,unknown,17,0.94%,0.42,1809,0.42,7.11,99.54,Performance Max,Maximize Conversion Value,KLARNA-all
2024-05-07,Enabled,Klarna all pro - NO IMPRESS M,--,GBP,2,Daily,Eligible,unknown,17,1.34%,0.28,1270,0.28,4.78,20.61,Performance Max,Maximize Conversion Value,KLARNA-all
2024-05-04,Enabled,Klarna all pro - NO IMPRESS M,--,GBP,2,Daily,Eligible,unknown,15,1%,0.42,1498,0.42,6.29,0,Performance Max,Maximize Conversion Value,KLARNA-all
2024-05-11,Enabled,Klarna all pro - NO IMPRESS M,--,GBP,2,Daily,Eligible,unknown,7,0.93%,0.39,749,0.23,2.73,0,Performance Max,Maximize Conversion Value,KLARNA-all
2023-10-13,Paused,Top Selling 02/09/2023,--,GBP,2,Daily,Paused,campaign paused; unknown,0,0%,0,2,0,0,0,Shopping,Target ROAS,--
2023-10-08,Paused,Top Selling 02/09/2023,--,GBP,2,Daily,Paused,campaign paused; unknown,2,0.83%,0.47,241,0.47,0.94,0,Shopping,Target ROAS,--
2023-08-28,Paused,Sales-Search-36 Cables S,--,GBP,1,Daily,Paused,campaign paused; unknown,4,2.88%,0.5,139,0.5,2,0,Search,Maximize Conversion Value (Target ROAS),--
2023-09-06,Paused,Top Selling 02/09/2023,--,GBP,2,Daily,Paused,campaign paused; unknown,0,0%,0,2,0,0,0,Shopping,Target ROAS,--
2023-08-14,Paused,Sales-Search-36 Cables S,--,GBP,1,Daily,Paused,campaign paused; unknown,3,27.27%,0.38,11,0.38,1.15,0,Search,Maximize Conversion Value (Target ROAS),--
2024-04-23,Enabled,SHOPTIMISED-PMax-LED-MOUDLES SHOPTI-with asset~sajeepan,--,GBP,5,Daily,Eligible (Limited),limited by budget; unknown,12,1.91%,0.37,627,0.37,4.39,0,Performance Max,Maximize Conversion Value,SAJE
2024-04-05,Enabled,SHOPTIMISED-PMax-LED-MOUDLES SHOPTI-with asset~sajeepan,--,GBP,5,Daily,Eligible (Limited),limited by budget; unknown,17,1.12%,0.37,1522,0.25,6.28,19.69,Performance Max,Maximize Conversion Value,SAJE
2024-03-17,Enabled,SHOPTIMISED-PMax-LED-MOUDLES SHOPTI-with asset~sajeepan,--,GBP,5,Daily,Eligible (Limited),limited by budget; unknown,34,1.28%,0.72,2662,0.58,24.52,37.57,Performance Max,Maximize Conversion Value,SAJE
2024-01-31,Enabled,SHOPTIMISED-PMax-LED-MOUDLES SHOPTI-with asset~sajeepan,--,GBP,5,Daily,Eligible (Limited),limited by budget; unknown,1,7.14%,1.16,14,1.16,1.16,0,Performance Max,Maximize Conversion Value,SAJE
2024-02-18,Enabled,SHOPTIMISED-PMax-LED-MOUDLES SHOPTI-with asset~sajeepan,--,GBP,5,Daily,Eligible (Limited),limited by budget; unknown,23,1.49%,0.48,1539,0.44,11.08,1.08,Performance Max,Maximize Conversion Value,SAJE
2024-03-02,Enabled,SHOPTIMISED-PMax-LED-MOUDLES SHOPTI-with asset~sajeepan,--,GBP,5,Daily,Eligible (Limited),limited by budget; unknown,17,3.11%,0.6,546,0.51,10.19,37.91,Performance Max,Maximize Conversion Value,SAJE
2024-02-16,Enabled,SHOPTIMISED-PMax-LED-MOUDLES SHOPTI-with asset~sajeepan,--,GBP,5,Daily,Eligible (Limited),limited by budget; unknown,22,1.19%,0.55,1853,0.45,12.03,113.51,Performance Max,Maximize Conversion Value,SAJE
2024-04-30,Enabled,SHOPTIMISED-PMax-LED-MOUDLES SHOPTI-with asset~sajeepan,--,GBP,5,Daily,Eligible (Limited),limited by budget; unknown,7,0.71%,0.33,987,0.23,2.31,0,Performance Max,Maximize Conversion Value,SAJE
2024-04-27,Enabled,SHOPTIMISED-PMax-LED-MOUDLES SHOPTI-with asset~sajeepan,--,GBP,5,Daily,Eligible (Limited),limited by budget; unknown,24,1.38%,0.34,1744,0.29,8.12,0,Performance Max,Maximize Conversion Value,SAJE
2024-04-24,Enabled,SHOPTIMISED-PMax-LED-MOUDLES SHOPTI-with asset~sajeepan,--,GBP,5,Daily,Eligible (Limited),limited by budget; unknown,15,1.32%,0.42,1137,0.33,6.31,14.21,Performance Max,Maximize Conversion Value,SAJE
2024-03-18,Enabled,SHOPTIMISED-PMax-LED-MOUDLES SHOPTI-with asset~sajeepan,--,GBP,5,Daily,Eligible (Limited),limited by budget; unknown,17,0.64%,0.68,2677,0.5,11.54,0,Performance Max,Maximize Conversion Value,SAJE
2024-02-11,Enabled,SHOPTIMISED-PMax-LED-MOUDLES SHOPTI-with asset~sajeepan,--,GBP,5,Daily,Eligible (Limited),limited by budget; unknown,13,5.56%,0.51,234,0.37,6.64,0,Performance Max,Maximize Conversion Value,SAJE
2024-04-13,Enabled,SHOPTIMISED-PMax-LED-MOUDLES SHOPTI-with asset~sajeepan,--,GBP,5,Daily,Eligible (Limited),limited by budget; unknown,10,0.87%,0.65,1156,0.34,6.5,4.98,Performance Max,Maximize Conversion Value,SAJE
2024-04-07,Enabled,SHOPTIMISED-PMax-LED-MOUDLES SHOPTI-with asset~sajeepan,--,GBP,5,Daily,Eligible (Limited),limited by budget; unknown,15,0.89%,0.44,1680,0.3,6.58,0,Performance Max,Maximize Conversion Value,SAJE
2024-02-06,Enabled,SHOPTIMISED-PMax-LED-MOUDLES SHOPTI-with asset~sajeepan,--,GBP,5,Daily,Eligible (Limited),limited by budget; unknown,9,5%,0.91,180,0.91,8.18,57.63,Performance Max,Maximize Conversion Value,SAJE
